S#,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,city,state
1,"Las Vegas, NV",10/1/2017,58,527,585,,White,Male,36.181271,-115.13413200000001,Las Vegas, NV
2,"San Francisco, CA",6/14/2017,3,2,5,Yes,Asian,Male,,,San Francisco, CA
3,"Tunkhannock, PA",6/7/2017,3,0,3,,White,Male,,,Tunkhannock, PA
4,"Orlando, Florida",6/5/2017,5,0,5,,,Male,,,Orlando, Florida
5,"Kirkersville, Ohio",5/12/2017,3,0,3,Yes,White,Male,,,Kirkersville, Ohio
6,"Fresno, California",4/18/2017,3,0,3,,Black,Male,,,Fresno, California
7,"Fort Lauderdale, Florida",1/6/2017,5,6,11,Yes,Latino,Male,,,Fort Lauderdale, Florida
8,"Burlington, WA",9/23/2016,5,0,5,Yes,,Male,,,Burlington, WA
9,"Baton Rouge, LA",7/17/2016,3,3,6,Yes,Black,Male,,,Baton Rouge, LA
10,"Dallas, Texas",7/7/2016,5,11,16,,Black,Male,,,Dallas, Texas
11,"Orlando, Florida",6/12/2016,49,53,102,,Other,Male,,,Orlando, Florida
12,"Ferguson, Missouri",4/29/2016,0,4,4,,,,38.744217,-90.305391,Ferguson, Missouri
13,nan,4/26/2016,1,4,5,,,,38.845113,-76.874972,,
14,nan,4/24/2016,0,6,6,,Black,Male,36.765971,-78.928344,,
15,nan,4/21/2016,0,4,4,,Black,Male,39.290385,-76.612189,,
16,nan,4/19/2016,1,4,5,,,,41.878114000000004,-87.629798,,
17,nan,4/19/2016,4,0,4,,White,Male,29.785784999999997,-95.824396,,
18,nan,4/19/2016,1,4,4,Yes,White,Male,34.162040000000005,-86.475543,,
19,nan,4/18/2016,0,3,4,,,,33.77005,-118.193739,,
20,nan,4/9/2016,0,4,4,,White,Male,35.085334,-106.605553,,
21,nan,4/9/2016,0,4,4,,,,35.149534,-90.04898,,
22,nan,4/7/2016,0,5,5,,,,41.878114000000004,-87.629798,,
23,nan,4/1/2016,3,1,3,,Asian,Male,35.085334,-106.605553,,
24,"Richmond, Virginia",3/31/2016,2,2,3,,Black,Male,37.540725,-77.436048,Richmond, Virginia
25,"Louisburg, North Carolina",3/26/2016,3,0,3,,Black,Male,36.099039000000005,-78.301106,Louisburg, North Carolina
26,"Lawrenceburg, Tennessee",3/25/2016,2,2,3,,,Male,35.242302,-87.334739,Lawrenceburg, Tennessee
27,nan,3/25/2016,2,2,3,Yes,White,Male,34.759257,-86.60249300000001,,
28,"Sherman, Texas ",3/21/2016,4,0,3,,,Male,33.635661999999996,-96.60888,Sherman, Texas 
29,"Louisville, Kentucky",3/20/2016,4,0,3,Yes,White,Male,38.252665,-85.75845600000001,Louisville, Kentucky
30,"Plantation, Florida",3/19/2016,1,4,5,,,,26.127585999999997,-80.233104,Plantation, Florida
31,"Wetumpka, Alabama",3/19/2016,2,2,4,,Black,Male,32.543745,-86.211913,Wetumpka, Alabama
32,nan,3/15/2016,0,4,4,,,,33.748995,-84.387982,,
33,nan,3/13/2016,0,4,4,,,,26.640628000000003,-81.87230799999999,,
34,nan,3/12/2016,2,2,3,,,Male,34.111222999999995,-82.86708399999999,,
35,nan,3/11/2016,0,5,5,,,,40.217053,-74.742938,,
36,nan,3/11/2016,2,2,4,,,,42.331427000000005,-83.045754,,
37,"Pittsburgh, Pennsylvania",3/9/2016,6,3,9,,,Male,40.440625,-79.995886,Pittsburgh, Pennsylvania
38,nan,3/9/2016,5,3,8,,,Male,40.441736,-79.88199399999999,,
39,"Kansas City, Kansas",3/7/2016,5,0,5,,Other,Male,39.114053000000006,-94.627464,Kansas City, Kansas
40,nan,3/7/2016,0,4,4,,,,30.224090000000004,-92.01984300000001,,
41,nan,3/7/2016,4,0,4,,Other,Male,39.114053000000006,-94.627464,,
42,"Chelsea, Massachusetts",3/6/2016,1,6,7,,Other,Male,42.391764,-71.03282800000001,Chelsea, Massachusetts
43,nan,3/6/2016,0,4,4,,Black,Male,34.023243,-84.36155600000001,,
44,nan,3/5/2016,0,4,4,,,,37.687176,-97.330053,,
45,nan,2/28/2016,0,5,5,,Black,Male,42.331427000000005,-83.045754,,
46,nan,2/28/2016,1,3,4,,Other,Male,33.997197,-117.48548000000001,,
47,"Woodbridge,  Virginia",2/27/2016,2,2,4,,Black,Male,38.6697,-77.3524,Woodbridge,  Virginia
48,"Belfair, Washington",2/26/2016,5,0,4,,White,Male,47.5033,-122.931,Belfair, Washington
49,"Hesston, Kansas",2/25/2016,3,14,17,,Black,Male,,,Hesston, Kansas
50,"Hesston, Kansas",2/25/2016,4,14,17,,Black,Male,38.1368,-97.4268,Hesston, Kansas
51,nan,2/25/2016,5,0,4,,White,Male,47.451459,-122.82694599999999,,
52,"Glendale, Arizona",2/23/2016,5,0,4,,White,Male,33.448377,-112.074037,Glendale, Arizona
53,nan,2/21/2016,1,3,4,,Black,Male,38.771440000000005,-90.370949,,
54,nan,2/21/2016,0,5,5,,,,29.760427000000004,-95.369803,,
55,"Kalamazoo County, Michigan",2/20/2016,6,2,8,,White,Male,,,Kalamazoo County, Michigan
56,"Iuka, Mississippi",2/20/2016,2,3,4,,White,Male,34.7404,-88.1383,Iuka, Mississippi
57,nan,2/20/2016,1,3,4,,,,27.950575,-82.457178,,
58,nan,2/20/2016,6,2,8,No,White,Male,42.291707,-85.58722900000001,,
59,nan,2/19/2016,2,2,4,,,,38.104085999999995,-122.25663700000001,,
60,nan,2/9/2016,0,3,3,,Black,Male,43.201126,-86.238946,,
61,"Orlando, Florida",2/7/2016,2,10,12,,Other,Male,28.4541,-81.4646,Orlando, Florida
62,nan,2/7/2016,1,7,8,,,,43.16103,-77.610922,,
63,nan,2/6/2016,2,6,8,,,,27.950575,-82.457178,,
64,nan,2/6/2016,1,3,4,,,,34.052234000000006,-118.24368500000001,,
65,nan,2/6/2016,4,0,3,,White,Male,29.209684000000003,-99.786168,,
66,nan,1/31/2016,0,3,3,,Black,Male,29.951065999999997,-90.07153199999999,,
67,nan,1/30/2016,3,5,8,,,Male,33.538652,-112.18598700000001,,
68,nan,1/29/2016,2,2,3,,,Male,38.044556,-77.286488,,
69,"Chesapeake, Virginia",1/27/2016,6,0,5,Yes,White,Male,36.7921,-76.3293,Chesapeake, Virginia
70,nan,1/25/2016,1,4,5,,,Male,33.782519,-117.22864799999999,,
71,nan,1/23/2016,3,0,3,,White,Male,30.754181,-86.572799,,
72,nan,1/23/2016,2,2,4,,,,34.052234000000006,-118.24368500000001,,
73,nan,1/17/2016,1,3,4,,Black,Male,37.402640000000005,-76.458559,,
74,nan,1/11/2016,1,4,5,,Black,Male,39.739072,-75.539788,,
75,nan,1/7/2016,1,3,4,,,,35.149534,-90.04898,,
76,nan,1/6/2016,3,1,4,,Black,Male,28.039465000000003,-81.949804,,
77,"Omaha, Nebraska",12/6/2015,2,3,5,,Black,Male,41.3138,-96.0814,Omaha, Nebraska
78,"San Bernardino, California",12/2/2015,14,21,35,,Other,,,,San Bernardino, California
79,"San Bernardino, California",12/2/2015,16,21,35,,Asian,,34.13973446,-117.29424440000001,San Bernardino, California
80,"Colorado Springs, Colorado",11/27/2015,3,9,12,,White,Male,,,Colorado Springs, Colorado
81,"Columbus, Ohio",11/23/2015,4,1,4,,White,Male,39.98861445,-82.98904135,Columbus, Ohio
82,"Minneapolis, Minnesota",11/23/2015,0,5,5,,White,Male,44.96358722,-93.26783687,Minneapolis, Minnesota
83,"Tennessee Colony, Texas",11/15/2015,6,0,6,,White,Male,31.8076,-95.8069,Tennessee Colony, Texas
84,"Jacksonville, Florida",11/13/2015,4,1,4,,Black,Male,30.33216122,-81.67576993,Jacksonville, Florida
85,"Waycross, Georgia",11/7/2015,1,2,3,Yes,Black,Male,31.21094544,-82.35793452,Waycross, Georgia
86,"Oakland, Maine",11/4/2015,4,0,3,,,Male,44.54994725,-69.70782299,Oakland, Maine
87,"Colorado Springs, Colorado",10/31/2015,4,0,3,,White,Male,38.86730659,-104.7572279,Colorado Springs, Colorado
88,"Colerain Township, Ohio",10/21/2015,2,1,3,,White,Male,39.253268,-84.599655,Colerain Township, Ohio
89,"Flagstaff, Arizona",10/9/2015,1,3,4,,White,Male,35.1725658,-111.65854350000001,Flagstaff, Arizona
90,"Roseburg, Oregon",10/1/2015,10,7,16,,Two or more races,Male,43.22205555,-123.3522367,Roseburg, Oregon
91,"Inglis, Florida",10/1/2015,3,1,3,,White,Male,29.03270634,-82.65919302,Inglis, Florida
92,"Greenville, Georgia",9/27/2015,0,10,10,,Black,Male,33.02912644,-84.7143335,Greenville, Georgia
93,"Platte, South Dakota",9/17/2015,6,0,5,,White,Male,43.38682722,-98.84357239,Platte, South Dakota
